OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Khirkatanka B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Maholi B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Mohanpur B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Naoli B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Nayakheda B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Pranpura B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Tarai B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Thubon B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Vikrampur B.O,Branch Post Office,473446,,CHANDERI,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
Bamnawar B.O,Branch Post Office,473335,,ESAGARH,ASHOK NAGAR,MADHYA PRADESH,GUNA,INDORE,MADHYA PRADESH
